Cluster Number,Class Name,File Path
1,Bpm,profile-collections/fmx-profile-collection/startup/21-bpm_00_lsdc.py
1,FESlits,profile-collections/fmx-profile-collection/startup/10-motors_99.py
1,KBMirror,profile-collections/fmx-profile-collection/startup/10-motors_99.py
1,Best,profile-collections/fmx-profile-collection/startup/21-bpm_99.py
1,EDXD,profile-collections/hex-profile-collection/startup/03-motors.py
1,SRXHFM,profile-collections/srx-profile-collection/startup/11-optics.py
1,SRXBPM,profile-collections/srx-profile-collection/startup/11-optics.py
1,SRXSlitsFE,profile-collections/srx-profile-collection/startup/10-machine.py
1,BPMStats,profile-collections/srx-profile-collection/startup/20-diagnostics.py
1,SRXNanoStage,profile-collections/srx-profile-collection/startup/16-nanoES.py
1,SRXNanoVLMStage,profile-collections/srx-profile-collection/startup/16-nanoES.py
1,HFETomoStage,profile-collections/srx-profile-collection/startup/18-tempstages.py
1,XFMstage,profile-collections/srx-profile-collection/startup/18-tempstages.py
1,XFMslit,profile-collections/srx-profile-collection/startup/18-tempstages.py
1,DexelaBeamstop,profile-collections/srx-profile-collection/startup/18-tempstages.py
1,SRXJJSlits,profile-collections/srx-profile-collection/startup/15-microES.py
2,EigerSimulatedFilePlugin,profile-collections/isr-profile-collection/startup/20-area-detectors.py
2,Tpx3Files,profile-collections/chx-profile-collection/optional_startup/9999-tpx3.py
2,EigerSimulatedFilePlugin,profile-collections/chx-profile-collection/startup/20-area-detectors.py
2,PilatusFilePlugin,profile-collections/lix-profile-collection/startup/obsolete/20-pilatus.py
3,SSASlit,profile-collections/isr-profile-collection/startup/70-quadem.py
3,Slits,profile-collections/qas-profile-collection/startup/20-motors.py
3,FE_Slits,profile-collections/qas-profile-collection/startup/20-motors.py
3,FESlits,profile-collections/amx-profile-collection/startup/10-motors.py
3,HXN_NanoStage,profile-collections/hxn-profile-collection/startup/61-nano-es.py
3,ESMSlit_type1,profile-collections/esm-xpeem-profile-collection/startup/10-machine.py
3,ESMSlit_type2,profile-collections/esm-xpeem-profile-collection/startup/10-machine.py
3,EPU1,profile-collections/ios-profile-collection/startup/10-machine.py
3,Slits,profile-collections/pdf-profile-collection/startup/15-optics.py
3,Slit2DBlades,profile-collections/ixs-profile-collection/startup/10-machine.py
3,SSA,profile-collections/ixs-profile-collection/startup/10-optics.py
3,Spectrometer,profile-collections/ixs-profile-collection/startup/90-endstation.py
3,AnalyzerSlits,profile-collections/ixs-profile-collection/startup/90-endstation.py
3,MCMSlits,profile-collections/ixs-profile-collection/startup/90-endstation.py
3,SlitsWithGapAndCenter,profile-collections/opls-profile-collection/startup/25-slits.py
3,SlitsWithTopBottomInbOutb,profile-collections/opls-profile-collection/startup/25-slits.py
3,SLTH,profile-collections/opls-profile-collection/startup/25-slits.py
3,SLTV,profile-collections/opls-profile-collection/startup/25-slits.py
3,TXM_SSA,profile-collections/fxi-profile-collection/startup/11-txm_motor.py
3,ExitSlit,profile-collections/six-profile-collection/startup/12-slits.py
3,ESMSlit_type1,profile-collections/esm-arpes-profile-collection/startup/10-machine.py
3,ESMSlit_type2,profile-collections/esm-arpes-profile-collection/startup/10-machine.py
3,XFP_qem2,profile-collections/xfp-profile-collection/startup/15-electrometer.py
3,FE_WhiteBeam_Slits,profile-collections/xfp-profile-collection/startup/10-motors-fe.py
3,ADCSlits,profile-collections/xfp-profile-collection/startup/10-motors-bl.py
3,PreMonoSlits,profile-collections/xfp-profile-collection/startup/10-motors-bl.py
3,SLTH,profile-collections/smi-profile-collection/startup/smiclasses/slits.py
3,SLTV,profile-collections/smi-profile-collection/startup/smiclasses/slits.py
3,Hutch_Slits,profile-collections/iss-profile-collection/startup/10-motors.py
3,SRXSlitsWB,profile-collections/srx-profile-collection/startup/11-optics.py
3,SRXSlitsPB,profile-collections/srx-profile-collection/startup/11-optics.py
3,SRXSSACalc,profile-collections/srx-profile-collection/startup/11-optics.py
3,HACK_SRX_NSLS_EM,profile-collections/srx-profile-collection/startup/20-diagnostics.py
3,SRXNanoDet,profile-collections/srx-profile-collection/startup/16-nanoES.py
3,SRXDownStreamGantry,profile-collections/srx-profile-collection/startup/15-microES.py
4,VirtualMotorCenterAndGap,profile-collections/isr-profile-collection/startup/01-machine.py
4,Virtual_Motor_Center_And_Gap,profile-collections/esm-xpeem-profile-collection/startup/10-machine.py
4,MotorCenterAndGap,profile-collections/cms-profile-collection/startup/10-motors.py
4,Slit2D,profile-collections/ixs-profile-collection/startup/10-machine.py
4,VirtualMotorCenterAndGap,profile-collections/six-profile-collection/startup/12-slits.py
4,MotorCenterAndGap,profile-collections/chx-profile-collection/startup/10-optics.py
4,VirtualMotorCenterAndGap,profile-collections/chx-profile-collection/startup/10-optics.py
4,Virtual_Motor_Center_And_Gap,profile-collections/esm-arpes-profile-collection/startup/10-machine.py
4,MotorCenterAndGap,profile-collections/smi-profile-collection/startup/smiclasses/motors.py
5,AttenuatorBank,profile-collections/isr-profile-collection/startup/15-attenuators.py
5,FilterBankTwoButtonShutter,profile-collections/pdf-profile-collection/startup/12-motors.py
5,AttenuatorRI,profile-collections/fmx-profile-collection/startup/23-attenuator_crl_99.py
5,AttenuatorBCU,profile-collections/fmx-profile-collection/startup/23-attenuator_crl_00_lsdc.py
6,ScalerMCA,profile-collections/tes-profile-collection/startup/25-sclr.py
6,Scaler,profile-collections/tes-profile-collection/startup/25-sclr.py
6,ScalerMCA,profile-collections/xfm-profile-collection/startup/20-scaler.py
6,Scaler,profile-collections/xfm-profile-collection/startup/20-scaler.py
6,ScalerMCA,profile-collections/csx-profile-collection/startup/90-softGluescalar.py
6,Scaler,profile-collections/csx-profile-collection/startup/90-softGluescalar.py
6,StruckSIS3820MCS,profile-collections/csx-profile-collection/startup/csx1/devices/scaler.py
6,SpectrumAnalyzer,profile-collections/esm-arpes-profile-collection/startup/30-detectors.py
6,XmapSCA,profile-collections/iss-profile-collection/startup/42-xia.py
6,ScalerPreAmp,profile-collections/srx-profile-collection/startup/20-diagnostics.py
7,ToroidalMirror,profile-collections/tes-profile-collection/startup/20-motors.py
7,KBMirror,profile-collections/tes-profile-collection/startup/20-motors.py
7,FoilWheel1,profile-collections/qas-profile-collection/startup/20-motors.py
7,M1_mirror,profile-collections/esm-xpeem-profile-collection/startup/10-machine.py
7,Hexapod_Mir,profile-collections/esm-xpeem-profile-collection/startup/10-machine.py
7,ESM_Diagon,profile-collections/esm-xpeem-profile-collection/startup/10-machine.py
7,Mirror,profile-collections/ios-profile-collection/startup/10-optics.py
7,Mirror,profile-collections/pdf-profile-collection/startup/15-optics.py
7,Pinhole,profile-collections/ixs-profile-collection/startup/10-optics.py
7,Analyzer,profile-collections/ixs-profile-collection/startup/90-endstation.py
7,AnalyzerDXtals,profile-collections/ixs-profile-collection/startup/90-endstation.py
7,SOLLER,profile-collections/opls-profile-collection/startup/25-slits.py
7,Transfocator,profile-collections/chx-profile-collection/startup/10-optics.py
7,M1_mirror,profile-collections/esm-arpes-profile-collection/startup/10-machine.py
7,Hexapod_Mir,profile-collections/esm-arpes-profile-collection/startup/10-machine.py
7,ESM_Diagon,profile-collections/esm-arpes-profile-collection/startup/10-machine.py
7,XFP_FE_Mirror,profile-collections/xfp-profile-collection/startup/10-motors-fe.py
7,CRL,profile-collections/smi-profile-collection/startup/smiclasses/crls.py
7,Mirror,profile-collections/iss-profile-collection/startup/10-motors.py
7,FoilWheel,profile-collections/iss-profile-collection/startup/10-motors.py
8,VideoStreamDet,profile-collections/tes-profile-collection/startup/27-vstream-cam.py
8,CameraSnapshot,profile-collections/bmm-profile-collection/startup/BMM/attic/webcam_device.py
8,CameraSnapshot,profile-collections/pdf-profile-collection/startup/.99-webcam_device.py
9,PShutter,profile-collections/tes-profile-collection/startup/22-shutters.py
